dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-KOR,201507,2642,4.445641120563886,-10.0,12549,12335,2739,169,600,249.0,0.0639666919000757,0.2271006813020439,0.0942467827403482
CHN-KOR,201508,3308,3.6276083528521497,-10.0,15835,15494,3464,85,672,132.0,0.025695284159613,0.2031438935912938,0.0399032648125755
CHN-KOR,201509,4067,3.848306520550517,-10.0,18877,18222,4154,168,542,224.0,0.0413080895008605,0.1332677649373002,0.0550774526678141
CHN-KOR,201510,4339,3.232495533917512,-10.0,19463,19047,4648,70,547,143.0,0.0161327494814473,0.1260659138050242,0.0329569025120995
CHN-KOR,201511,4505,3.4035444714239995,-10.0,20471,19729,4853,66,555,148.0,0.0146503884572697,0.123196448390677,0.0328523862375138
CHN-KOR,201512,2941,4.585840785581251,-10.0,13034,12676,3009,153,555,258.0,0.0520231213872832,0.1887113226793607,0.0877252635158109
CHN-KOR,201601,4607,3.8247986275535,-10.0,19193,18808,4798,81,979,198.0,0.0175819405252876,0.2125027132624267,0.0429780768395919
CHN-KOR,201602,5268,3.9491426073719422,-10.0,23138,22846,5537,170,1703,325.0,0.0322703113135914,0.3232725892179195,0.0616932422171602
CHN-KOR,201603,3364,4.007813898022914,-10.0,16013,15653,3542,127,716,208.0,0.0377526753864447,0.2128418549346016,0.0618311533888228
CHN-KOR,201604,3401,4.339338195694808,-10.0,15636,15314,3570,171,866,308.0,0.0502793296089385,0.2546309908850338,0.0905615995295501
CHN-KOR,201605,2539,4.084009259686423,-10.0,11943,11644,2614,113,663,190.0,0.044505710909807,0.2611264277274517,0.0748326112642772
CHN-KOR,201606,4243,4.174801985138593,-10.0,19647,19297,4381,180,1089,360.0,0.0424228140466651,0.2566580249823238,0.0848456280933302
CHN-KOR,201607,4067,4.339629444175202,-10.0,20037,19693,4248,172,1542,318.0,0.0422916154413572,0.3791492500614704,0.0781903122694861
CHN-KOR,201608,4874,3.928036796633191,-10.0,21888,21486,5155,130,1395,318.0,0.0266721378744357,0.2862125564218301,0.0652441526466967
CHN-KOR,201609,5018,4.417684844216731,-10.0,23214,22705,5383,316,1671,486.0,0.0629732961339178,0.3330011956954962,0.0968513351933041
CHN-KOR,201610,3081,4.652108082116309,-10.0,14784,14427,3236,243,975,388.0,0.0788704965920155,0.3164556962025316,0.1259331385913664
CHN-KOR,201611,2386,5.002334944320444,-10.0,10905,10670,2533,269,696,341.0,0.1127409891031014,0.2917015926236379,0.1429170159262363
CHN-KOR,201612,2198,4.244923484719841,-10.0,9586,9397,2327,108,575,214.0,0.0491355777979981,0.2616014558689717,0.097361237488626
CHN-KOR,201701,3043,4.146263442789216,-10.0,13305,13059,3181,133,1014,233.0,0.0437068682221492,0.3332237923102202,0.0765691751560959
CHN-KOR,201702,3043,4.927783881872237,-10.0,13272,12911,3197,300,1191,517.0,0.0985869208018402,0.3913900755833059,0.1698981268485047
CHN-KOR,201703,8813,4.429212307975837,-10.0,38002,37247,9633,631,3077,1140.0,0.0715987745376148,0.3491433110178146,0.1293543628730284
CHN-KOR,201704,7429,4.827945720034552,-10.0,28854,27364,7793,538,2386,907.0,0.0724188989096782,0.3211737784358595,0.1220891102436397
CHN-KOR,201705,5230,4.188673939832496,-10.0,25002,23799,5541,295,1344,437.0,0.0564053537284894,0.2569789674952198,0.0835564053537284
CHN-KOR,201706,2510,4.42142022765506,-10.0,11146,10882,2667,138,661,260.0,0.0549800796812749,0.2633466135458167,0.1035856573705179
CHN-KOR,201707,3175,4.486019029125783,-10.0,13309,13035,3309,207,964,336.0,0.0651968503937007,0.3036220472440945,0.1058267716535433
CHN-KOR,201708,3948,4.279054519819526,-10.0,16434,16098,4200,206,1085,391.0,0.0521783181357649,0.274822695035461,0.0990374873353596
CHN-KOR,201709,4558,4.490650053761323,-10.0,18253,17670,4799,224,1528,500.0,0.0491443615620886,0.3352347520842474,0.1096972356296621
CHN-KOR,201710,4843,3.9931209184301584,-10.0,20774,20355,5227,172,937,409.0,0.0355151765434647,0.1934751187280611,0.0844517860830064
CHN-KOR,201711,8008,3.186211827238164,-10.0,31654,30688,8705,116,1286,371.0,0.0144855144855144,0.1605894105894106,0.0463286713286713
CHN-KOR,201712,6366,4.406483279988035,-10.0,29553,28678,6772,468,1392,773.0,0.0735155513666352,0.2186616399622997,0.1214263273641219
CHN-KOR,201801,3016,4.0137078440254585,-10.0,13340,13012,3184,91,844,291.0,0.0301724137931034,0.279840848806366,0.0964854111405835
